,Stop ID,Stop Name,Lat,Lon,Stop Code
1316,PHILOWDSR:2,Philo & Windsor (SE Corner),40.083578,-88.190438,MTD2152
1317,PHILOWDSR:4,Philo & Windsor (NW Corner),40.083969,-88.190567,MTD2152
1318,PHILOWDSR:6,Philo & Windsor (SE Far Side),40.083728,-88.189995,MTD2152
1319,PKCNTRL:1,Park & Central (NE Corner),40.117444,-88.210744,MTD1437
1320,PKCNTRL:3,Park & Central (SW Corner),40.117389,-88.210957,MTD1437
1321,PKLN:1,Parkland College (Main Stop),40.131574,-88.288138,MTD3534
1322,PKLNBDFD:3,Park Lane & Bedford (SW Corner),40.080631,-88.252014,MTD0595
1323,PKLNCTBRAD:1,Parkland Ct. & Bradley (NE Corner),40.12752,-88.278523,MTD0217
1324,PKLNCTBRAD:3,Parkland Ct. & Bradley (SW Corner),40.127387,-88.278858,MTD0217
1325,PKLNCTBRAD:4,Parkland Ct. & Bradley (NW Corner),40.127618,-88.278705,MTD0217
1326,PKLNSTFD:1,Park Lane & Stanford (NE Corner),40.080719,-88.255814,MTD3926
1327,PKLNSTFD:3,Park Lane & Stanford (SW Corner),40.080658,-88.255959,MTD3926
1328,PKMCCLGH:4,Park & McCullough (NW Corner),40.117492,-88.212811,MTD5873
1329,PKNSCHKE:1,Perkins & Cherokee (NE Corner),40.127657,-88.168778,MTD7633
1330,PKNSCHKE:3,Perkins & Cherokee (South Side),40.127605,-88.168963,MTD7633
1331,PKNSCOOK:1,Perkins & Cooks Ln. (NE Corner),40.127577,-88.17686,MTD1214
1332,PKNSCOOK:3,Perkins & Cooks Ln. (South Side),40.12753,-88.176997,MTD1214
1333,PKNSCROL:1,Perkins & Carroll (North Side),40.127477,-88.194587,MTD6764
1334,PKNSCROL:3,Perkins & Carroll (SW Corner),40.127425,-88.194897,MTD6764
1335,PKNSCROL:7,Perkins & Carroll (SW Far Side),40.12717,-88.194757,MTD6764
1336,PKNSEAST:1,Perkins & Eastern (North Side),40.127487,-88.192302,MTD5141
1337,PKNSEAST:2,Perkins & Eastern (SE Corner),40.127323,-88.192313,MTD5141
1338,PKNSEAST:7,Perkins & Eastern (SW Far Side),40.127179,-88.192394,MTD5141
1339,PKNSHICRS:3,Perkins & High Cross (SW Corner),40.12768,-88.162965,MTD5154
1340,PKNSHICRS:4,Perkins & High Cross (NW Corner),40.127785,-88.162868,MTD5154
1341,PKNSIVAN:1,Perkins & Ivanhoe (North Side),40.127507,-88.189132,MTD5417
1342,PKNSIVAN:3,Perkins & Ivanhoe (South Side),40.127448,-88.18908,MTD5417
1343,PKNSRICH:1,Perkins & Richard (NE Corner),40.127507,-88.19072,MTD6733
1344,PKNSRICH:3,Perkins & Richard (SW Corner),40.12746,-88.190867,MTD6733
1345,PKNSRNTRW:1,Perkins & Raintree (North Side),40.127628,-88.173053,MTD2413
1346,PKNSRNTRW:3,Perkins & Raintree (SW Corner),40.127577,-88.173178,MTD2413
1347,PKRMN:1,Park & Romine (North Side),40.11741,-88.227015,MTD1531
1348,PKRMN:3,Park & Romine (SW Corner),40.117363,-88.227249,MTD1531
1349,PKWRT:1,Park & Wright (NE Corner),40.11738,-88.228677,MTD4255
1350,PKWRT:6,Park & Wright (SE Far Side),40.117348,-88.228473,MTD4255
1351,PLACYNTHA:3,Paula & Cynthia (SW Corner),40.135403,-88.275138,MTD7771
1352,PLAGH:1,Paula & Garden Hills (NE Corner),40.134608,-88.272788,MTD6265
1353,PLAGH:3,Paula & Garden Hills (SW Corner),40.13465,-88.273023,MTD6265
1354,PLAHNYSKL:1,Paula & Honeysuckle (NE Corner),40.133165,-88.268817,MTD1614
1355,PLAHNYSKL:3,Paula & Honeysuckle (SW Corner),40.133225,-88.269,MTD1614
1356,PLAJEANNE:3,Paula & Jeanne (South Side),40.131692,-88.264788,MTD7354
1357,PLAJOANE:1,Paula & Joanne (NE Corner),40.13427,-88.271875,MTD7527
1358,PLAJOANE:3,Paula & Joanne (SW Corner),40.134262,-88.27191,MTD7527
1359,PLAKIRK:1,Paula & Kirk Ln. (North Side),40.132007,-88.26559,MTD0066
1360,PLAKIRK:3,Paula & Kirk Ln. (SW Corner),40.132022,-88.26576,MTD0066
1361,PLALRKSPR:3,Paula & Larkspur (South Side),40.132882,-88.268053,MTD2623
1362,PLAMATS:1,Paula & Mattis (NE Corner),40.13613,-88.276948,MTD1553
1363,PLAMATS:6,Paula & Mattis (SE Far Side),40.135923,-88.276615,MTD1553
1364,PLAMCNLY:2,Paula & McKinley (SE Corner),40.130881,-88.262681,MTD6155
1365,PLAMCNLY:3,Paula & McKinley (SW Corner),40.131018,-88.262894,MTD6155
1366,PLAMCNLY:4,Paula & McKinley (NW Corner),40.13109,-88.262772,MTD6155
1367,PLAMELNE:3,Paula & Melanie (South Side),40.133667,-88.270258,MTD4116
1368,PLAPWRS:3,Paula & Powers (SW Corner),40.131372,-88.263918,MTD2112
1369,PLASTIPAK:1,Plastipak,40.116255,-88.302173,MTD3216
1370,PLASTIPAK:2,Plastipak,40.116023,-88.302212,MTD3216
1371,PLAZA:1,Transit Plaza (NW Platform),40.10847,-88.228957,MTD3520
1372,PLAZA:2,Transit Plaza (NE Platform),40.108582,-88.228842,MTD6263
1373,PLAZA:3,Transit Plaza (SW Platform),40.108202,-88.228923,MTD5404
1374,PLAZA:4,Transit Plaza (SE Platform),40.108178,-88.228828,MTD6115
1375,PMNABRAD:2,Pomona & Bradley (SE Corner),40.127413,-88.29377,MTD3360
1376,PMNAEH:2,Pomona & Ed Hoffman (SE Corner),40.126292,-88.293913,MTD4353
1377,PMNAEH:4,Pomona & Ed Hoffman (NW Corner),40.126467,-88.294002,MTD4353
1378,PMNASTANA:2,Pomona & Santa Ana (SE Corner),40.12389,-88.293385,MTD5432
1379,PMNASTANA:4,Pomona & Santa Ana (NW Corner),40.124108,-88.293463,MTD5432
1380,PNCRSTSTLY:2,Pinecrest & Staley (SE Corner),40.094589,-88.314262,MTD6437
1381,PNCRSTSTLY:4,Pinecrest & Staley (West Side),40.094749,-88.31429,MTD6437
1382,PPRMLPBLBRK:3,Peppermill & Pebblebrook (South Side),40.128364,-88.312096,MTD0159
1383,PSL:1,Plant Sciences Lab (West Side),40.102303,-88.221883,MTD6731
1384,PSL:2,Plant Sciences Lab (East Side),40.102528,-88.221767,MTD6731
1385,PSPCTASRD:2,Prospect & Ayrshire (SE Corner),40.091267,-88.257483,MTD0311
1386,PSPCTASRD:4,Prospect & Ayrshire (West Side),40.091435,-88.257642,MTD0311
1387,PSPCTBDMR:3,Prospect & Broadmoor (SW Corner),40.092652,-88.257753,MTD3103
1388,PSPCTBDMR:4,Prospect & Broadmoor (NW Corner),40.092835,-88.257678,MTD3103
1389,PSPCTBDMR:8,Prospect & Broadmoor (NW Far Side),40.09274,-88.2582,MTD3103
1390,PSPCTBRD:4,Prospect & Beardsley (NW Corner),40.126415,-88.258063,MTD0626
1391,PSPCTBRN:2,Propsect & Breen (SE Corner),40.093973,-88.257531,MTD6312
1392,PSPCTDNSN:2,Prospect & Dennison (SE Corner),40.128233,-88.25788,MTD1631
1393,PSPCTDNSN:4,Prospect & Dennison (NW Corner),40.128452,-88.258083,MTD1631
1394,PSPCTDVN:1,Prospect & Devonshire (NE Corner),40.089762,-88.25734,MTD3260
1395,PSPCTDVN:2,Prospect & Devonshire (SE Corner),40.089573,-88.257482,MTD3260
1396,PSPCTDVN:4,Prospect & Devonshire (NW Corner),40.08982,-88.25767,MTD3260
1397,PSPCTDVN:6,Prospect & Devonshire (SE Far Side),40.089643,-88.257048,MTD3260
1398,PSPCTERKA:2,Prospect & Eureka (SE Corner),40.125283,-88.2579,MTD7253
1399,PSPCTERKA:4,Prospect & Eureka (NW Corner),40.125448,-88.25801,MTD7253
1400,PSPCTFLRPK:2,Prospect & Floral Park (SE Corner),40.07907,-88.2574,MTD2255
1401,PSPCTFRAN:2,Prospect & Francis (SE Corner),40.130776,-88.257884,MTD3126
1402,PSPCTFRAN:4,Prospect & Francis (NW Corner),40.131082,-88.258088,MTD3126
1403,PSPCTFRNS:2,Prospect & Francis (SE Corner),40.130848,-88.257872,MTD0314
1404,PSPCTGALN:3,Prospect & Galen (SW Corner),40.078033,-88.2575,MTD4006
1405,PSPCTHVD:1,Prospect & Harvard (NE Corner),40.12397,-88.257796,MTD1011
1406,PSPCTHVD:2,Prospect & Harvard (SE Corner),40.123867,-88.257872,MTD1011
1407,PSPCTHVD:4,Prospect & Harvard (NW Corner),40.123783,-88.257993,MTD1011
1408,PSPCTINTER:1,Prospect & Interstate (NE Corner),40.149167,-88.257772,MTD5150
1409,PSPCTINTER:7,Prospect & Interstate (SW Far Side),40.148712,-88.258125,MTD5150
1410,PSPCTJOHN:4,Prospect & John (SW Corner),40.109135,-88.257824,MTD9445
1411,PSPCTKBY:1,Prospect & Kirby (NE Corner),40.098226,-88.257351,MTD5725
1412,PSPCTKBY:3,Prospect & Kirby (SW Corner),40.098078,-88.257917,MTD5725
1413,PSPCTKBY:4,Prospect & Kirby (NW Corner),40.098347,-88.257743,MTD5725
1414,PSPCTKBY:8,Prospect & Kirby (NW Far Side),40.098242,-88.258175,MTD5725
1415,PSPCTLNSH:4,Prospect & Lincolnshire (NW Corner),40.095953,-88.257717,MTD3261
1416,PSPCTMJR:4,Prospect at Meijer (NW Corner),40.144772,-88.258083,MTD4652
1417,PSPCTMKTV:3,Prospect & Marketview (SW Corner),40.13794,-88.258288,MTD0407
1418,PSPCTPKLN:1,Prospect & Park Ln. (NE Corner),40.080708,-88.257439,MTD1134
1419,PSPCTPKLN:4,Prospect & Park Ln. (NW Corner),40.080793,-88.257512,MTD1134
1420,PSPCTPKLN:6,Prospect & Park Ln. (SE Far Side),40.080662,-88.256897,MTD1134
1421,PSPCTVIN:2,Prospect & Vine (SE Corner),40.12206,-88.257875,MTD4613
1422,PSPCTVIN:3,Prospect & Vine (SW Corner),40.122143,-88.258085,MTD4613
1423,PSPCTVIN:4,Prospect & Vine (NW Corner),40.122265,-88.257993,MTD4613
1424,PSPCTVIN:7,Prospect & Vine (SW Far Side),40.121732,-88.258017,MTD4613
1425,PSPCTVIN:8,Prospect & Vine (NW Far Side),40.122197,-88.258262,MTD4613
1426,PSPCTVTRA:2,Prospect & Ventura (SE Corner),40.096678,-88.257553,MTD1150
1427,PSPCTWASH:2,Prospect & Washington (SE Corner),40.120152,-88.25783,MTD1325
1428,PSPCTWASH:4,Prospect & Washington (NW Corner),40.120257,-88.25796,MTD1325
1429,QNWAYRLND:2,Queensway & Roland (SE Corner),40.144623,-88.273428,MTD2365
1430,QNWAYRLND:7,Queensway & Roland (SW Far Side),40.144548,-88.273515,MTD2365
1431,RACEHLMS:2,Race & Holmes (SE Corner),40.088618,-88.209467,MTD7403
1432,RACEHLMS:4,Race & Holmes (West Side),40.088778,-88.209548,MTD7403
1433,RACEIA:2,Race & Iowa (SE Corner),40.104445,-88.20958,MTD4621
1434,RACEIA:4,Race & Iowa (NW Corner),40.104802,-88.209678,MTD4621
1435,RACEIL:2,Race & Illinois (SE Corner),40.109065,-88.208793,MTD5412
1436,RACEIL:7,Race & Illinois (SW Far Side),40.108885,-88.208938,MTD5412
1437,RACEIN:2,Race & Indiana (SE Corner),40.102935,-88.20959,MTD6103
1438,RACEMBRK:1,Meadowbrook Park (West Side),40.080557,-88.209392,MTD4243
1439,RACEMDW:4,Race & Meadow (West Side),40.096561,-88.209637,MTD5461
1440,RACEMHRY:2,Race & McHenry (SE Corner),40.0868,-88.209438,MTD2403
1441,RACEMHRY:4,Race & McHenry (West Side),40.086958,-88.209518,MTD2403
1442,RACEMI:3,Race & Michigan (SW Corner),40.101855,-88.209611,MTD2061
1443,RACEMI:4,Race & Michigan (NW Corner),40.101991,-88.209655,MTD2061
1444,RACEMN:2,Race & Main (SE Corner),40.112288,-88.20893,MTD4530
1445,RACEMTCLR:4,Race & Montclair (West Side),40.095134,-88.209636,MTD6016
1446,RACEMUMFRD:4,Race & Mumford (West Side),40.094163,-88.209628,MTD7588
1447,RACENV:4,Race & Nevada (NW Corner),40.106675,-88.208855,MTD4222
1448,RACEOR:2,Race & Oregon (SE Corner),40.107508,-88.208818,MTD5012
1449,RACEOR:4,Race & Oregon (NW Corner),40.107625,-88.208882,MTD5012
1450,RACESWND:2,Race & Sherwin (SE Corner),40.073528,-88.209173,MTD0443
1451,RACESWND:6,Race & Sherwin (SE Far Side),40.073452,-88.208862,MTD0443
1452,RACEUA:1,Race at Stone Creek Church (West Side),40.084987,-88.209473,MTD5055
1453,RACEUA:2,Race at Stone Creek Church (East Side),40.084973,-88.209393,MTD5055
1454,RACEWASH2:3,Race & Washington (SW Corner),40.10554,-88.209035,MTD0366
1455,RACEWASH2:4,Race & Washington (NW Corner),40.105723,-88.208835,MTD0366
1456,RACEWDSR:1,Race & Windsor (NE Corner),40.083813,-88.209175,MTD1682
1457,RACEWDSR:2,Race & Windsor (SE Corner),40.083485,-88.209357,MTD1682
1458,RACEWDSR:4,Race & Windsor (NW Corner),40.083943,-88.209485,MTD1682
1459,RACEWDSR:7,Race & Windsor (SW Far Side),40.083198,-88.20948,MTD1682
1460,RBRCFD:1,Round Barn & Country Fair Dr. (NE),40.111158,-88.28273,MTD2166
1461,RBRCFD:6,Round Barn & Country Fair Dr. (SE Far),40.111092,-88.282502,MTD2166
